cycle,pc,type,paddr,coreid,inst
0,001008c78,Read Request,007591410,0,3532602762001
0,000000000,Eviction (writable),37aecd400,1,3532602761916
0,ffffffff78d3fd04,Read Request,37ae83f50,0,3532602762001
0,000000000,Eviction (writable),354a83f40,1,3532602761954
0,ffffffff78d3fd18,Read Request,37ae83f80,0,3532602762001
0,000000000,Eviction (dirty),3c55b3f80,1,3532602761959
0,001008c78,Read Request,0075930c0,0,3532602762001
0,000000000,Eviction (writable),354b470c0,1,3532602761985
0,ffffffff78d3fcfc,Read Request,3591c6780,0,3532602762001
0,000000000,Eviction (writable),02ed56780,2,3532602761961
0,00133f764,Fetch Request,007f3f764,0,3532602762001
0,000000000,Eviction (clean),007e97740,4,3532602761902
0,00133f784,Fetch Request,007f3f784,0,3532602762001
0,000000000,Eviction (clean),007e97780,4,3532602761909
0,001326328,Fetch Request,007f26328,0,3532602762001
0,000000000,Eviction (clean),007eee300,4,3532602761915
0,001001504,Write Request,3e3c929a0,0,3532602762001
0,000000000,Eviction (dirty),3e2746980,4,3532602761923
0,001001540,Fetch Request,007c01540,0,3532602762001
0,000000000,Eviction (clean),007d31540,4,3532602761938
0,00104afe4,Write Request,0309c9d10,0,3532602762001
0,000000000,Eviction (writable),0ccac1d00,4,3532602761951
0,001326200,Fetch Request,007f26200,0,3532602762001
0,000000000,Eviction (clean),007f22200,4,3532602761966
0,00133f7c4,Fetch Request,007f3f7c4,0,3532602762001
0,000000000,Eviction (clean),007e977c0,4,3532602761980
0,00133f7f4,Read Request,0309f6278,0,3532602762001
0,000000000,Eviction (writable),181522240,4,3532602761984
0,00133f858,Fetch Request,007f3f858,0,3532602762001
0,000000000,Eviction (clean),3c2207840,4,3532602761988
0,001008c78,Read Request,0075d3250,0,3532602762001
0,000000000,Eviction (writable),39359b240,6,3532602761912
0,ffffffff78d3fd04,Read Request,36e24b9c0,0,3532602762001
0,000000000,Eviction (writable),0075ef9c0,6,3532602761950
0,ffffffff78d3fd1c,Read Request,36e252e58,0,3532602762001
0,000000000,Eviction (writable),39359ae40,6,3532602761956
0,ffffffff78a71efc,Read Request,383ec8e74,0,3532602762001
0,000000000,Eviction (dirty),3c6c9ce40,7,3532602761936
0,ffffffff78a71f10,Read Request,383ef5fc0,0,3532602762001
0,000000000,Eviction (writable),376ea5fc0,7,3532602761941
0,ffffffff78a71e40,Read Request,3be90b258,0,3532602762001
0,000000000,Eviction (clean),376c83240,7,3532602761979
0,ffffffff789d49fc,Write Request,3c6c9ce60,0,3532602762001
0,000000000,Eviction (writable),397f04e40,7,3532602761991
0,ffffffff78a71e40,Read Request,395607160,0,3532602762001
0,000000000,Eviction (writable),36fa17140,9,3532602761908
0,0012dffac,Fetch Request,007edffac,0,3532602762001
0,000000000,Eviction (clean),3c091ff80,11,3532602761924
0,001008aac,Read Request,009161c00,0,3532602762001
0,000000000,Eviction (clean),3c20c1c00,11,3532602761946
0,0012dffb4,Read Request,049ce0650,0,3532602762001
0,000000000,Eviction (dirty),3c5fe4640,11,3532602761953
0,0012dffc0,Fetch Request,007edffc0,0,3532602762001
0,000000000,Eviction (clean),007f3ffc0,11,3532602761956
0,0012e000c,Fetch Request,007ee000c,0,3532602762001
0,000000000,Eviction (clean),007e14000,11,3532602761957
0,00104afe4,Write Request,04b44f898,0,3532602762001
0,000000000,Eviction (clean),0075b7880,11,3532602761961
0,0012e0018,Read Request,04b44f9c8,0,3532602762001
0,000000000,Eviction (writable),3e27339c0,11,3532602761966
0,0012e001c,Read Request,04b44f810,0,3532602762001
0,000000000,Eviction (writable),3e2733800,11,3532602761967
0,0012e0040,Fetch Request,007ee0040,0,3532602762001
0,000000000,Eviction (clean),007f3c040,11,3532602761976
0,0012e008c,Fetch Request,007ee008c,0,3532602762001
0,000000000,Eviction (clean),007e14080,11,3532602762000
0,0012f2674,Read Request,113bac580,0,3532602762001
0,000000000,Eviction (dirty),39e290580,13,3532602761938
0,ffffffff78d3ff7c,Read Request,37236a320,0,3532602762001
0,000000000,Eviction (writable),372376300,14,3532602761903
0,ffffffff78d3fff0,Read Request,372368070,0,3532602762001
0,000000000,Eviction (dirty),3c5504040,14,3532602761932
0,ffffffff7e1223c4,Read Request,381647460,0,3532602762001
0,000000000,Eviction (dirty),081b5b440,15,3532602761916
0,ffffffff7e469240,Fetch Request,3c1059240,0,3532602762001
0,000000000,Eviction (clean),3c0b75240,15,3532602761923
0,ffffffff7e36b398,Fetch Request,3e9f5b398,0,3532602762001
0,000000000,Eviction (clean),3c0b73380,15,3532602761927
0,ffffffff7e36b3c0,Fetch Request,3e9f5b3c0,0,3532602762001
0,000000000,Eviction (clean),3c0b733c0,15,3532602761937
0,ffffffff7e36b3c8,Read Request,3c10fe8e8,0,3532602762001
0,000000000,Eviction (writable),3593968c0,15,3532602761939
0,001000c80,Fetch Request,007c00c80,0,3532602762001
0,000000000,Eviction (clean),3c0bacc80,15,3532602761943
0,001008b40,Fetch Request,007c08b40,0,3532602762001
0,000000000,Eviction (clean),3c0b74b40,15,3532602761953
0,001008b6c,Read Request,0075f6e00,0,3532602762001
0,000000000,Eviction (dirty),0970a6e00,15,3532602761964
0,001008b80,Fetch Request,007c08b80,0,3532602762001
0,000000000,Eviction (clean),3c0b74b80,15,3532602761969
0,ffffffff7edc0ae8,Fetch Request,0067b8ae8,0,3532602762001
0,000000000,Eviction (clean),3c0b74ac0,15,3532602761973
0,ffffffff7edc0af0,Write Request,3e8eaa99c,0,3532602762001
0,000000000,Eviction (writable),09d256980,15,3532602761975
0,ffffffff7edc0b00,Fetch Request,0067b8b00,0,3532602762001
0,000000000,Eviction (clean),3c0b74b00,15,3532602761979
0,ffffffff7e36b3e0,Read Request,3c10f6850,0,3532602762001
0,000000000,Eviction (writable),3be33e840,15,3532602761985
0,ffffffff7eddb2f0,Fetch Request,0057d32f0,0,3532602762001
0,000000000,Eviction (clean),3c0b732c0,15,3532602761988
0,ffffffff7eddb300,Fetch Request,0057d3300,0,3532602762001
0,000000000,Eviction (clean),3c0b73300,15,3532602761992
0,ffffffff78d3fd1c,Read Request,354a19c08,0,3532602762100
0,000000000,Eviction (writable),37a5ddc00,1,3532602762023
0,001008c78,Read Request,0075f1570,0,3532602762100
0,000000000,Eviction (writable),359251540,2,3532602762051
0,ffffffff78d3fd04,Read Request,37eeaea98,0,3532602762100
0,000000000,Eviction (writable),3541c6a80,2,3532602762089
0,ffffffff78d3fd18,Read Request,37eeaeac8,0,3532602762100
0,000000000,Eviction (writable),3532c6ac0,2,3532602762094
0,00133f880,Fetch Request,007f3f880,0,3532602762100
0,000000000,Eviction (clean),007e97880,4,3532602762004
0,001318b9c,Fetch Request,007f18b9c,0,3532602762100
0,000000000,Eviction (clean),3f12f4b80,4,3532602762008
0,001318bac,Read Request,0309f6280,0,3532602762100
0,000000000,Eviction (clean),02c832280,4,3532602762012
0,001318be0,Fetch Request,007f18be0,0,3532602762100
0,000000000,Eviction (clean),3f12f4bc0,4,3532602762015
